Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
285658;"EDICOM S.A.                                                                                         ";114,33;1;30/04/2025;;;
500794;"BESPOKE CLOSET - CARMEN LOPEZ                                                                       ";956,18;2;30/04/2025;"Anna Maria Mateo    ";08/05/2025;"gestio de cobro"
130095;"AIR LIQUIDE HEALTCHCARE ESPAÑA,S.L.                                                                 ";904,89;1;31/03/2025;;;
287271;"CLARINS SPAIN SA                                                                                    ";76,85;1;31/05/2025;"Anna Maria Mateo    ";11/07/2025;"GESTIO DE COBRO"
4107;"VALIRA SEGURETAT,S.L.                                                                               ";70,84;1;09/04/2025;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
183666;"EDITORIAL PLANETA ANDORRA,S.L.U.                                                                    ";35,66;1;25/06/2025;"Anna Maria Mateo    ";29/05/2024;"gestio de cobro"
4016;"CAVIDSA - LOG. I G. CAVES ANDORRANES I VIDAL, S.A.                                                  ";7,67;1;30/04/2025;;;
100353;"MINISTERI ORDENAMENT TERRITORIAL (BOMBERS)                                                          ";11,19;1;30/06/2025;;;
286597;"ICL UNILOG                                                                                          ";1950,25;5;30/07/2025;;;
287327;"FUSCO,ANTONIO                                                                                       ";1031,40;4;31/05/2025;;;
283455;"OTSO                                                                                                ";1543,94;1;21/06/2025;"Carles Porta Miró   ";21/01/2022;"GESTIONS COBRO"
4072;"TREPOSA                                                                                             ";46,44;3;30/06/2025;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
5773;"CAVES MANACOR                                                                                       ";57,62;1;31/05/2025;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
130039;"OTSO THINK SPORT SL                                                                                 ";471,71;1;30/06/2025;;;
189236;"TRAYCCO - APUNTO MARKETING EN EL PUNTO DE VENTA SL                                                  ";75,00;1;30/06/2025;;;
282937;"HAIR CARE INSTITUTE SLU                                                                             ";2488,85;2;31/05/2025;"Anna Maria Mateo    ";19/09/2025;"Bona tarda,esta tancat el transit d'aquesta exp.?gràcies."
